chr1,x00:0:248956422
chr10,x02:0:133797422
chr11,x02:0:49000000,x03:49000000:135086622
chr12,x03:0:133275309
chr13,x03:0:114364328
chr14,x03:0:107043718
chr15,x03:0:101991189
chr16,x03:0:75000000,x04:75000000:90338345
chr17,x04:0:83257441
chr18,x04:0:80373285
chr19,x04:0:58617616
chr2,x00:0:242193529
chr20,x04:0:64444167
chr21,x04:0:46709983
chr22,x04:0:50818468
chr3,x00:0:129000000,x01:129000000:198295559
chr4,x01:0:190214555
chr5,x01:0:181538259
chr6,x01:0:170805979
chr7,x01:0:7000000,x02:7000000:159345973
chr8,x02:0:145138636
chr9,x02:0:138394717
chrM,x04:0:16569
chrX,x04:0:156040895
chrY,x04:0:57227415
